order_id,customer_id,employee_id,order_date,required_date,shipped_date,ship_via,freight,ship_name,ship_address,ship_city,ship_region,ship_postal_code,ship_country,order_id,product_id,unit_price,quantity,discount,_sdc_extracted_at,_sdc_received_at,_sdc_batched_at,_sdc_deleted_at,_sdc_sequence,_sdc_table_version,_sdc_sync_started_at
10248,VINET,5,1996-07-04,1996-08-01,1996-07-16,3,32.38,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,,51100,France,10248,11,14,12,0,2025-01-31 21:07:00.008307,2025-01-31 21:07:00.858206,2025-01-31 21:07:00.858192,,1738357620858,,1738357620645
10248,VINET,5,1996-07-04,1996-08-01,1996-07-16,3,32.38,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,,51100,France,10248,42,9.8,10,0,2025-01-31 21:07:00.008478,2025-01-31 21:07:00.858598,2025-01-31 21:07:00.858192,,1738357620859,,1738357620645
10248,VINET,5,1996-07-04,1996-08-01,1996-07-16,3,32.38,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,,51100,France,10248,72,34.8,5,0,2025-01-31 21:07:00.008593,2025-01-31 21:07:00.858836,2025-01-31 21:07:00.858192,,1738357620859,,1738357620645
10249,TOMSP,6,1996-07-05,1996-08-16,1996-07-10,1,11.61,Toms Spezialitäten,Luisenstr. 48,Münster,,44087,Germany,10249,14,18.6,9,0,2025-01-31 21:07:00.008698,2025-01-31 21:07:00.859129,2025-01-31 21:07:00.858192,,1738357620859,,1738357620645
10249,TOMSP,6,1996-07-05,1996-08-16,1996-07-10,1,11.61,Toms Spezialitäten,Luisenstr. 48,Münster,,44087,Germany,10249,51,42.4,40,0,2025-01-31 21:07:00.008808,2025-01-31 21:07:00.859363,2025-01-31 21:07:00.858192,,1738357620859,,1738357620645
10250,HANAR,4,1996-07-08,1996-08-05,1996-07-12,2,65.83,Hanari Carnes,"Rua do Paço, 67",Rio de Janeiro,RJ,05454-876,Brazil,10250,41,7.7,10,0,2025-01-31 21:07:00.008909,2025-01-31 21:07:00.859587,2025-01-31 21:07:00.858192,,1738357620860,,1738357620645
10250,HANAR,4,1996-07-08,1996-08-05,1996-07-12,2,65.83,Hanari Carnes,"Rua do Paço, 67",Rio de Janeiro,RJ,05454-876,Brazil,10250,51,42.4,35,0.15,2025-01-31 21:07:00.009012,2025-01-31 21:07:00.859809,2025-01-31 21:07:00.858192,,1738357620860,,1738357620645
10250,HANAR,4,1996-07-08,1996-08-05,1996-07-12,2,65.83,Hanari Carnes,"Rua do Paço, 67",Rio de Janeiro,RJ,05454-876,Brazil,10250,65,16.8,15,0.15,2025-01-31 21:07:00.009111,2025-01-31 21:07:00.860088,2025-01-31 21:07:00.858192,,1738357620860,,1738357620645
10251,VICTE,3,1996-07-08,1996-08-05,1996-07-15,1,41.34,Victuailles en stock,"2, rue du Commerce",Lyon,,69004,France,10251,22,16.8,6,0.05,2025-01-31 21:07:00.009198,2025-01-31 21:07:00.860312,2025-01-31 21:07:00.858192,,1738357620860,,1738357620645
10251,VICTE,3,1996-07-08,1996-08-05,1996-07-15,1,41.34,Victuailles en stock,"2, rue du Commerce",Lyon,,69004,France,10251,57,15.6,15,0.05,2025-01-31 21:07:00.009285,2025-01-31 21:07:00.86055,2025-01-31 21:07:00.858192,,1738357620861,,1738357620645
10251,VICTE,3,1996-07-08,1996-08-05,1996-07-15,1,41.34,Victuailles en stock,"2, rue du Commerce",Lyon,,69004,France,10251,65,16.8,20,0,2025-01-31 21:07:00.009456,2025-01-31 21:07:00.860764,2025-01-31 21:07:00.858192,,1738357620861,,1738357620645
10252,SUPRD,4,1996-07-09,1996-08-06,1996-07-11,2,51.3,Suprêmes délices,"Boulevard Tirou, 255",Charleroi,,B-6000,Belgium,10252,20,64.8,40,0.05,2025-01-31 21:07:00.009553,2025-01-31 21:07:00.861091,2025-01-31 21:07:00.858192,,1738357620861,,1738357620645
10252,SUPRD,4,1996-07-09,1996-08-06,1996-07-11,2,51.3,Suprêmes délices,"Boulevard Tirou, 255",Charleroi,,B-6000,Belgium,10252,33,2,25,0.05,2025-01-31 21:07:00.009659,2025-01-31 21:07:00.861352,2025-01-31 21:07:00.858192,,1738357620861,,1738357620645
10252,SUPRD,4,1996-07-09,1996-08-06,1996-07-11,2,51.3,Suprêmes délices,"Boulevard Tirou, 255",Charleroi,,B-6000,Belgium,10252,60,27.2,40,0,2025-01-31 21:07:00.009823,2025-01-31 21:07:00.861589,2025-01-31 21:07:00.858192,,1738357620862,,1738357620645
10253,HANAR,3,1996-07-10,1996-07-24,1996-07-16,2,58.17,Hanari Carnes,"Rua do Paço, 67",Rio de Janeiro,RJ,05454-876,Brazil,10253,31,10,20,0,2025-01-31 21:07:00.010015,2025-01-31 21:07:00.861807,2025-01-31 21:07:00.858192,,1738357620862,,1738357620645
10253,HANAR,3,1996-07-10,1996-07-24,1996-07-16,2,58.17,Hanari Carnes,"Rua do Paço, 67",Rio de Janeiro,RJ,05454-876,Brazil,10253,39,14.4,42,0,2025-01-31 21:07:00.010141,2025-01-31 21:07:00.862209,2025-01-31 21:07:00.858192,,1738357620862,,1738357620645
10253,HANAR,3,1996-07-10,1996-07-24,1996-07-16,2,58.17,Hanari Carnes,"Rua do Paço, 67",Rio de Janeiro,RJ,05454-876,Brazil,10253,49,16,40,0,2025-01-31 21:07:00.010258,2025-01-31 21:07:00.862456,2025-01-31 21:07:00.858192,,1738357620862,,1738357620645
10254,CHOPS,5,1996-07-11,1996-08-08,1996-07-23,2,22.98,Chop-suey Chinese,Hauptstr. 31,Bern,,3012,Switzerland,10254,24,3.6,15,0.15,2025-01-31 21:07:00.010426,2025-01-31 21:07:00.862679,2025-01-31 21:07:00.858192,,1738357620863,,1738357620645
10254,CHOPS,5,1996-07-11,1996-08-08,1996-07-23,2,22.98,Chop-suey Chinese,Hauptstr. 31,Bern,,3012,Switzerland,10254,55,19.2,21,0.15,2025-01-31 21:07:00.010577,2025-01-31 21:07:00.862956,2025-01-31 21:07:00.858192,,1738357620863,,1738357620645
10254,CHOPS,5,1996-07-11,1996-08-08,1996-07-23,2,22.98,Chop-suey Chinese,Hauptstr. 31,Bern,,3012,Switzerland,10254,74,8,21,0,2025-01-31 21:07:00.010731,2025-01-31 21:07:00.863199,2025-01-31 21:07:00.858192,,1738357620863,,1738357620645
